DEPT_CODE,DEPT_NAME,YYYY,GDP(Bill)(COP),GDP(COP),SECTOR,SECTOR_ID
76,VALLE DEL CAUCA,2010,9932,9.932E+12,COMERCIO REPARACION TRANSPORTE Y ALOJAMIENTO,S04
76,VALLE DEL CAUCA,2011,10768,1.0768E+13,COMERCIO REPARACION TRANSPORTE Y ALOJAMIENTO,S04
76,VALLE DEL CAUCA,2012,11231,1.1231E+13,COMERCIO REPARACION TRANSPORTE Y ALOJAMIENTO,S04
76,VALLE DEL CAUCA,2013,12096,1.2096E+13,COMERCIO REPARACION TRANSPORTE Y ALOJAMIENTO,S04
76,VALLE DEL CAUCA,2014,13190,1.319E+13,COMERCIO REPARACION TRANSPORTE Y ALOJAMIENTO,S04
76,VALLE DEL CAUCA,2015,14529,1.4529E+13,COMERCIO REPARACION TRANSPORTE Y ALOJAMIENTO,S04
76,VALLE DEL CAUCA,2016p,15831,1.5831E+13,COMERCIO REPARACION TRANSPORTE Y ALOJAMIENTO,S04
97,VAUPES,2000,11,11000000000,COMERCIO REPARACION TRANSPORTE Y ALOJAMIENTO,S04
97,VAUPES,2001,11,11000000000,COMERCIO REPARACION TRANSPORTE Y ALOJAMIENTO,S04
97,VAUPES,2002,13,13000000000,COMERCIO REPARACION TRANSPORTE Y ALOJAMIENTO,S04
97,VAUPES,2003,13,13000000000,COMERCIO REPARACION TRANSPORTE Y ALOJAMIENTO,S04
97,VAUPES,2004,15,15000000000,COMERCIO REPARACION TRANSPORTE Y ALOJAMIENTO,S04
97,VAUPES,2005,18,18000000000,COMERCIO REPARACION TRANSPORTE Y ALOJAMIENTO,S04
97,VAUPES,2006,21,21000000000,COMERCIO REPARACION TRANSPORTE Y ALOJAMIENTO,S04
97,VAUPES,2007,30,30000000000,COMERCIO REPARACION TRANSPORTE Y ALOJAMIENTO,S04
97,VAUPES,2008,33,33000000000,COMERCIO REPARACION TRANSPORTE Y ALOJAMIENTO,S04
97,VAUPES,2009,34,34000000000,COMERCIO REPARACION TRANSPORTE Y ALOJAMIENTO,S04
97,VAUPES,2010,40,40000000000,COMERCIO REPARACION TRANSPORTE Y ALOJAMIENTO,S04
97,VAUPES,2011,42,42000000000,COMERCIO REPARACION TRANSPORTE Y ALOJAMIENTO,S04
97,VAUPES,2012,43,43000000000,COMERCIO REPARACION TRANSPORTE Y ALOJAMIENTO,S04
97,VAUPES,2013,47,47000000000,COMERCIO REPARACION TRANSPORTE Y ALOJAMIENTO,S04
97,VAUPES,2014,50,50000000000,COMERCIO REPARACION TRANSPORTE Y ALOJAMIENTO,S04
97,VAUPES,2015,56,56000000000,COMERCIO REPARACION TRANSPORTE Y ALOJAMIENTO,S04
97,VAUPES,2016p,59,59000000000,COMERCIO REPARACION TRANSPORTE Y ALOJAMIENTO,S04
99,VICHADA,2000,20,20000000000,COMERCIO REPARACION TRANSPORTE Y ALOJAMIENTO,S04
99,VICHADA,2001,28,28000000000,COMERCIO REPARACION TRANSPORTE Y ALOJAMIENTO,S04
99,VICHADA,2002,26,26000000000,COMERCIO REPARACION TRANSPORTE Y ALOJAMIENTO,S04
99,VICHADA,2003,28,28000000000,COMERCIO REPARACION TRANSPORTE Y ALOJAMIENTO,S04
99,VICHADA,2004,37,37000000000,COMERCIO REPARACION TRANSPORTE Y ALOJAMIENTO,S04
99,VICHADA,2005,45,45000000000,COMERCIO REPARACION TRANSPORTE Y ALOJAMIENTO,S04
99,VICHADA,2006,55,55000000000,COMERCIO REPARACION TRANSPORTE Y ALOJAMIENTO,S04
99,VICHADA,2007,63,63000000000,COMERCIO REPARACION TRANSPORTE Y ALOJAMIENTO,S04
99,VICHADA,2008,72,72000000000,COMERCIO REPARACION TRANSPORTE Y ALOJAMIENTO,S04
99,VICHADA,2009,72,72000000000,COMERCIO REPARACION TRANSPORTE Y ALOJAMIENTO,S04
99,VICHADA,2010,64,64000000000,COMERCIO REPARACION TRANSPORTE Y ALOJAMIENTO,S04
99,VICHADA,2011,69,69000000000,COMERCIO REPARACION TRANSPORTE Y ALOJAMIENTO,S04
99,VICHADA,2012,73,73000000000,COMERCIO REPARACION TRANSPORTE Y ALOJAMIENTO,S04
99,VICHADA,2013,81,81000000000,COMERCIO REPARACION TRANSPORTE Y ALOJAMIENTO,S04
99,VICHADA,2014,88,88000000000,COMERCIO REPARACION TRANSPORTE Y ALOJAMIENTO,S04
99,VICHADA,2015,96,96000000000,COMERCIO REPARACION TRANSPORTE Y ALOJAMIENTO,S04
99,VICHADA,2016p,107,1.07E+11,COMERCIO REPARACION TRANSPORTE Y ALOJAMIENTO,S04
0,COLOMBIA,2000,43024,4.3024E+13,ACTIVIDADES FINANCIERAS INMOBILIARIAS EMPRESARIALES Y COMUNICACIONES,S01
0,COLOMBIA,2001,45920,4.592E+13,ACTIVIDADES FINANCIERAS INMOBILIARIAS EMPRESARIALES Y COMUNICACIONES,S01
0,COLOMBIA,2002,49238,4.9238E+13,ACTIVIDADES FINANCIERAS INMOBILIARIAS EMPRESARIALES Y COMUNICACIONES,S01
0,COLOMBIA,2003,53210,5.321E+13,ACTIVIDADES FINANCIERAS INMOBILIARIAS EMPRESARIALES Y COMUNICACIONES,S01
0,COLOMBIA,2004,58997,5.8997E+13,ACTIVIDADES FINANCIERAS INMOBILIARIAS EMPRESARIALES Y COMUNICACIONES,S01
0,COLOMBIA,2005,65096,6.5096E+13,ACTIVIDADES FINANCIERAS INMOBILIARIAS EMPRESARIALES Y COMUNICACIONES,S01
0,COLOMBIA,2006,71986,7.1986E+13,ACTIVIDADES FINANCIERAS INMOBILIARIAS EMPRESARIALES Y COMUNICACIONES,S01
0,COLOMBIA,2007,80970,8.097E+13,ACTIVIDADES FINANCIERAS INMOBILIARIAS EMPRESARIALES Y COMUNICACIONES,S01
0,COLOMBIA,2008,90416,9.0416E+13,ACTIVIDADES FINANCIERAS INMOBILIARIAS EMPRESARIALES Y COMUNICACIONES,S01
